Track Name,Artists,lyrics
Von dutch,Charli xcx,"Verse It's okay to just admit that you're jealous of me Yeah, I heard you talk about me, that's the word on the street You're obsessing, just confess it, put your hands up It's obvious I'm your number one  It's alright to just admit that I'm the fantasy You're obsessing, just confess it 'cause it's obvious I'm your number one, I'm your number one I'm your number one, yeah  I'm just living that life Von Dutch, cult classic, but I still pop I get money, you get mad because the bank's shut Yeah, I know your little secret, put your hands up It's so obvious I'm your number one, life Von Dutch, cult classic in your eardrums Why you lying?  You won't fuck unless he famous Do that littlе dance, without it, you'd be namelеss It's so obvious I'm your number one Post- I'm your number one, I'm your number one I'm your number one, yeah, it's so obvious I'm your number one, I'm your number one I'm your number one, yeah, it's so obvious"
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen," Post Malone You got a lotta nerve, don't you, baby? I only hit the curb 'cause you made me You're tellin' all your friends that I'm crazy Like I'm the only one Why'd you throw them stones if you Had a wild hair of your own or two? Livin' in your big glass house with a view I thought you knew  Post Malone I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, 'Teamwork makes the dream work' Hell, I had some help (Help) Post- Post Malone (Help)  Morgan Wallen You thought I'd take the blame for us a-crumbling Go 'round like you ain't guilty of somethin' Already lost the game that you been runnin' Guess it's catchin' up to you, huh You think that you're so innocent After all the shit you did I ain't an angel, you ain't heaven-sent Can't wash our hands of this  Morgan Wallen I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, 'Teamwork makes the dream work' Hell, I had some help (Help) Post- Post Malone (Help) (Help) (Help) Bridge Morgan Wallen, Post Malone & Both It takes two to break a heart in two, ooh Baby, you blame me and, baby, I blame you Aw, if that ain't the truth (Oh)  Post Malone & Morgan Wallen I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, 'Teamwork makes the dream work' Hell, I had some help (Help)  Post- Post Malone (Help) (Help) (Help)"
Tough,Quavo & Lana Del Rey," Tough like the scuff on a pair of old leather boots Like the blue-collar, red-dirt attitude Like a .38 made out of brass Tough like the stuff in your grandpa's glass Life's gonna do what it does Sure as the good Lord's up above I'm cut like a diamond shinin' in the rough Tough Tough  Quavo,  &  Come on, take a ride with me Like the 808s beatin' in the trunk in Atlanta, it was tough It was kinda hard for me Crawlin' through the mud, I couldn't find love, then we came  up Look at what we are, baby Standin' through the storm, still shinin' like a diamond in the rough Still shinin', and that's hard If you ever lost someonе that you  love  Through the pain, gotta show 'em, givе 'em light Still family if you're wrong or you're right No matter, we together It's not somethin' that you wanna do, it's just somethin' you goin' through"
TGIF,GloRilla,"  On the gang, gang Huh, uh, uh, uh ( C haii's  har d ) Ayy  It's 7 p.m. Friday (Yup) It's ninety-five degrees (Woo) I ain't got no nigga and no nigga ain't got me  (Let's go) I'm 'bout to show my ass (Baow) These niggas love a freak (Uh) How the fuck is that your man (Huh?) If he right here with me? (The fuck? Ayy) Refrain Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo got that blicky (Ayy) Sixty thousand fans came to see me do my dance (Huh) Got a million and one haters, and they all can kiss my ass (Mwah)  Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo right here with me (Ayy, cuh) Off a fifth of Hen', yeah, gettin' fucked up with my twin Got a Backwood full of 'Za and a bankroll full of bands All that, all that Twitter typin', bitches see me and ain't do nothin' (Weak ass) Crop top with some bikers shorts, I'm showin' off my moose knuckle (Woo) I'm feelin' good today (Yeah) I'm outsidе with your bae (Uh-huh) Got a brown-skin nigga with dreads (Okay) And a black-ass nigga with waves (Lеt's go, ayy) He gon' drop that neck (Ayy) He love the way I sex (Ayy) Fake nails, bitches pressed (Ayy) So high, I'm damn-near wrecked (Ayy) I keep this pussy fresh (Ayy) Yeezy shirt, I'm wet (Ayy) Who want smoke? Say what? (Ayy) Ho, get that off your chest (The fuck?)"
Modern Woman,Eliza McLamb," I feel like a modern woman I get up late, I'm always saying ""Man, I gotta hit the DMV"" Always bills I'm paying I feel like shit in the afternoon 2pm is a wormhole into buying clothes on Instagram And standing in front of my fridge eating deli ham  If I could choose to be Free of modernity What would it make of me?  I want something to feel I want anything that's real I'll take whatever will hit me Just hit me hard, hit me hard, hit me hard I don't wanna be numb anymore I can't check out of what I am made for I waited forever to want it again And I want it, want it, want it, want it again  I feel like a modern woman An effortless, beautiful mess I'm crying in a way that's not pathetic You just wouldn't get it They love me when I am miserable 'Cause I'm super marketable Sad girl sings a simple song And all the others sing along"
Company Culture,Lambrini Girls,"Verse Palatable, unthreatening, 'cause all men know better than me The glass ceiling ahead of me, so I’ll take a backseat Smile and ignore that my boss wants to fuck me The wandering eyes at all times in the office  Blondes have more fun in company culture Pretend that I know how to use a computer Harassed in the workplace My cold resting bitch face When will I learn that men just do it better? (Don’t touch mе) Verse Palatable, unthreatening, 'causе all men know better than me Yet human resources say I’m asking for it Look over my shoulder Indecent exposure My coworkers say I’ve got no sense of humour Smile and ignore that my boss wants to fuck me The wandering eyes at all times in the office Day on the job looking hot playing dumb When will I learn that men just do it better?"
Always and Forever (feat. Hannah Diamond),SOPHIE & Hannah Diamond," Everything's moving away Farther and farther away Tracing a light in the sky Tell me if you see it too Sometimes I just wanna fly Into the skies, into the light Transcending time  For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side  For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side Post- (For always and forever) (Forever and for always)  Everything's moving away Farther and farther away Tracing a light in the sky Tell me if you see it too Sometimes I just wanna fly Into the skies, into the light Transcending time  For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side  Transcending time (For always and forever)"
The Prophecy,Taylor Swift," Two, one, two, three, four  Hand on the throttle Thought I caught lightning in a bottle Oh, but it's gone again And it was written I got cursed like Eve got bitten Oh, was it punishment? Pad around when I get home I guess a lesser woman would've lost hope A greater woman wouldn't beg But I looked to the sky and said  ""Please I've been on my knees Change the prophecy Don't want money Just someone who wants my company Let it once be me Who do I have to speak to About if they can redo the prophеcy?""  Cards on the table Mine play out likе fools in a fable Oh, it was sinking in (Sinking in, oh) Slow is the quicksand Poison blood from the wound of the pricked hand Oh, still I dream of him"
Fisherrr - Remix,Cash Cobain & Ice Spice & Bay Swag," Cash Cobain & Bay Swag Got an attitude, but you bad as shit, so I ain't mad at you And you tatted too, what I gotta do to be havin' you? I play the avenue, top-five slizzy and a savage too And your ass fat, know you eat your rice and your cabbage too She a savage too, I'm a savage too, it's compatible She was talkin' practice, had to cut her off, got a badder boo I ain't chicken tender, if you fuck my brother, I ain't mad at you Fuckin' in the kitchen, we ain't even make it to the master room Met her in the trenches, swear she suck it different and she tatted too  Cash Cobain & Bay Swag And she independent, swear this bitch is different and she nasty too Yeah, my body different, when I'm off a yidda, I'm an animal And her body different, I'ma eat on that bitch like I'm Hannibal I'ma act a fool, I get active too, I'ma eat that pussy like an edible For sure, tss I'm off a Percocet, but lil' mami be poppin' that Adderall For sure, tss That pussy be perfect wet, when you in it, it feel like it's grabbing you For sure, tss I know they mad at you, but I had to do what I had to do For sure, tss She got an attitude, when she suck the dick, it's like she mad at you For sure  Ice Spice Got an attitude, but I'm feelin' lit, so I ain't mad at you And I'm tatted too and it's fatter too, I'm your baddest boo So what you 'bout to do? Top-one baddie and the jatty move And my ass fat 'cause I eat my oats and my vegetables And my pussy fat, and it's creamy, ooh, taste like Danimals I'm a baddie, so I know them other bitches ain't impressin' you And I been a baddie since a youngin, nigga, this ain't nothin' new Why these niggas in my face? Oh, because I'm rich and my money blue I don't care what niggas say 'cause I'm really paid, I'm untouchable Makin' bitches wanna hate, she see me and she get uncomfortable Make her nigga want a plate, say I'm pretty and sexy and munchable I don't wanna rush with you, got a crush on you, wanna bust on you Nigga got me in a mood, you don't fuck with me, then you fuck with who? And I brought a baddie too, she a wetty, ooh, givin' Betty Boop I ain't callin' you my boo, nigga, what? You thought I was feelin' you? For sure Interlude Cash Cobain, Bay Swag & Ice Spice She blow the dick like it was a flute For sure Pussy so good, I'm never dubbin' you For sure, tss We met at the Ritz Carl', not the W For sure You gon' make a baddie fall in love with you For sure Cash Cobain & Bay Swag Got an attitude, but you bad as shit, so I ain't mad at you And you tatted too, what I gotta do to be havin' you? I play the avenue, top-five slizzy and a savage too And your ass fat, know you eat your rice and your cabbage too She a savage too, I'm a savage too, it's compatible She was talkin' practice, had to cut her off, got a badder boo I ain't chicken tender, if you fuck my brother, I ain't mad at you Fuckin' in the kitchen, we ain't even make it to the master room Met her in the trenches, swear she suck it different and she tatted too"
How Sweet,NewJeans,"뉴진스 ""How Sweet"" 가사  Haerin,  Danielle  &  Minji  All I know is now 알게 됐어 나 (I know) 그동안 맨날 always up and down (No more) 생각 또 생각 spinnin' 'round and 'round Changing my mind 수상해서 그렇지 이런 헛소리  (No more) How it's supposed to be  그만해  'cause it's clear (It's simple)  It's like biting an apple Refrain Danielle Toxic lover, you're no better 거기 숨지 말고 얼른 나와 You little demon in my storyline Don't knock on my door, I'll see you out  Hanni,  Minji ,  Hyein  &  Danielle  And don't you know how sweet it tastes? (How sweet it tastes) Yeah, don't you know how sweet it tastes? (How sweet it tastes) Yeah, don't you know how sweet it tastes? Now that I'm without you 나 더는 묻지 않을래  (How sweet it tastes) 알려주지  않아도  돼  (How sweet it tastes) Wow, don't you know how sweet it tastes? Now that I'm without you"
Never Lose Me (feat. SZA & Cardi B),Flo Milli & SZA & Cardi B," Flo Milli Never had a bitch like me in your life You ain't never had a bitch like me in your life, uh Never had a bitch like me in your life You ain't never had a bitch like me in your life (Yeah)  Flo Milli He speed in the Wraith while his hand on my coochie (Yeah) He touchin' Emilio Pucci (Uh) Doin' good, bitch, I'm gucci (I'm good) Fly to Asia, he feedin' me sushi (Ooh) When we fuckin', it feel like a movie Raw bitch, ain't never been a groupie Stiff on a ho, I like my nigga bougie (Yeah) Tell me you don't never wanna lose me  SZA I ain't a bitch you hit up when you finally got work in the city Leave a trap on the 'net, only reason you reached out 'cause all of your friends think I'm so pretty Hypin' a bitch 'cause you're thinkin' 'bout that box tonight (Yeah) Baby, let's get lost tonight (Yeah) Hit me up, I'll blow your mind (Yeah, he) He speed in a Jeep with his hand on my booty (Booty) He touchin' on me, I get goofy (Yeah) From the 'burbs, actin' bougie From the 'burb but I suck it like Suki (Mmm) From the 'burb but I buss it like Juvie (Mmm) Throw it back while he talkin' me through it Stiff on your ho, your nigga been a groupie Told me he don't never wanna lose me (Oh yes, I know) I know  SZA, Flo Milli & Cardi B Tell me you don't never wanna lose me Tell me you don't never wanna lose me (Lose me, uh) Tell me you don't never wanna lose me Post- Cardi B Bitch could never be me in her life That bitch could never be me in her life Bitch could never be me in her life That bitch could never be me in her life  3 Cardi B You textin' his phone while his face in my coochie (Yeah) He like it when I make it juicy (Mwah) Yeah, I'm bad (Yeah), yeah, I do this Foot on ass, leave a shoeprint (Yeah) He love me, ain't no need for no groupies (Uh) Hit Miami, I'm struttin' my two-piece (Yeah) On the beach, actin' bad, we on Tubi (Uh) He don't never ever wanna lose me (No) Bridge Cardi B He don't never ever wanna lose me (No) He don't never ever wanna lose me (No) He don't never ever wanna lose me (No) He don't never ever wanna—, wait  4 Cardi B Pussy so good, make him do what I say (Do what I say) Make him do what I say Leg in the air like I'm doin' ballet Parkin' these niggas, I'm doin' valet (Skrrt) I was showin' my ass like a thirst trap (Thirst trap) Gotta buy me Chanel 'fore I flirt back (Yeah) I got a round ass, I don't think the Earth flat (No) Gotta make sure my shoes and my purse match Let me turn up my bad bitch (Bad bitch) Let me turn up they madness (Yeah) Can't see that I'm her? Need glasses (Glasses) She a fan, I'm feelin' fantastic (Uh) If a nigga lose me, he stupid (Stupid) Body good, I should be a nudist (Nudist) He wanna take me somewhere secluded (Yeah) With a private beach and masseuses, huh  Flo Milli & SZA He speed in the Wraith while his hand on my coochie (Yeah) Doin' good, bitch, I'm gucci (Speed in a Wraith with his hand on my) When we fuckin', it feel like a movie Be stiff on a ho, I like my nigga bougie Tell me you don't never wanna lose me Tell your new bitch here that you love all the optional Get that bag, these niggas so delusional Get all you want, get it all if you want"
Darkest Hour (Helene Edit),Eric Church," If you were down in a gutter Where the homeless shudder, trying to shake off the snow If your tide was low, you lost your rudder I'd show you where to go If you were stuck out on the burning sand Hair on fire in a blinding gale I'd throw down a rope And pull you out of your hell Chrous In your darkest hour Baby, I'd come running (I'd come running) In your darkest hour I'd light your way Baby, don't give up (Don't give up) I'll do everything in my power To take even a minute of your darkest hour  Life can be a labyrinth A maze of moments, a pyramid of plans When all goes south, I'll bе your compass 'Til your needle spins you north again  In your darkest hour Baby, I'd come running (I'd comе running) In your darkest hour I'd light your way Baby, don't give up (Don't give up) I'll do everything in my power To take even a minute of your darkest hour"
obsessed,Olivia Rodrigo," La, da-da-da, da-da-la, la-da-da-da-da La, da-da-da, da-da-da  If I told you how much I think about her You'd think I was in love And if you knew how much I looked at her pictures You would think we're best friends  'Cause I know her star sign,  I know her blood type I've seen every movie she's been in, and, oh, God, she's beautiful And I know you loved her, and I know I'm butthurt But I can't help it, no, I can't help it  I'm so obsessed with your ex (Uh-huh) I know she's been asleep on my side of your bed, and I can feel it I'm starin' at her like I wanna get hurt And I remember every detail you have evеr told me, so be careful, baby Post- I'm so obsеssed with your ex (Ah) Yeah, I'm so obsessed with your ex (Ah) La, da-da-da, da-da-da"
Igual Que Un Ángel (with Peso Pluma),Kali Uchis & Peso Pluma,"Letra de 'Igual Que Un Ángel'  Kali Uchis Ooh Oh, oh Verso 1 Kali Uchis You should've seen the way she looked, igual que un ángel Heaven's her residence y ella no se va a caer They just can't reach her, princesita inalcanzable Le rompieron el cora, pero nunca se la perdió, oh Pre-Coro Kali Uchis Todos quieren plata, otros quieren fama Un amor superficial Pero ella quiere calma, no dañar su alma Nunca se olvida de lo real Coro Kali Uchis Un corazón como el tuyo está en extinción Heaven must have sent you to Earth Un corazón como el tuyo está en extinción Heaven must have sent you to Earth La favorita de Dios, la favorita de Dios, and it shows Sent from Heaven down to Earth La favorita de Dios, la favorita de Dios, and she knows Sent from Heaven down to Earth Verso 2 Peso Pluma & Kali Uchis Ya le juraron amor y le fallaron Ojitos secos de todo lo que lloraron Pero ella no se rinde, sonríe aunque le duela Porque personas como ella ya no quedan (Oh) Pre-Coro Peso Pluma & Kali Uchis, Peso Pluma, Kali Uchis Todos quieren plata, otros quieren fama Un amor superficial (Ah) Pero ella quiere calma, no dañar su alma (Ah) Nunca se olvida de lo real Coro Kali Uchis & Peso Pluma, Kali Uchis, Peso Pluma Un corazón como el tuyo está en extinción Heaven must have sent you to Earth (Oh) Un corazón como el tuyo está en extinción Heaven must have sent you to Earth La favorita de Dios, la favorita de Dios, and it shows Sent from Heaven down to Earth La favorita de Dios, la favorita de Dios, and she knows Sent from Heaven down to Earth Verso 3 Kali Uchis Uh, con esa actitud nadie la merece El que la quiera, que rece Porque ella es luz, ay, nada que ver No está a tu alcance, la nena es un ángel, ah  Pre-Coro Peso Pluma & Kali Uchis, Kali Uchis Todos quieren plata, otros quieren fama Un amor superficial (Ah) Pero ella quiere calma, no dañar su alma (Ah) Nunca se olvida de lo real Coro Kali Uchis & Peso Pluma, Kali Uchis, Peso Pluma Un corazón como el tuyo está en extinción Heaven must have sent you to Earth (Oh) Un corazón como el tuyo está en extinción Heaven must have sent you to Earth La favorita de Dios, la favorita de Dios, and it shows Sent from Heaven down to Earth La favorita de Dios, la favorita de Dios, and she knows Sent from Heaven down to Earth  Peso Pluma & Kali Uchis Dios She knows La favorita de Dios Favorita de Dios She knows La favorita de Dios"
Enough (Miami),Cardi B," Yeah Yeah Okay Okay Okay Okay  ( Mano ) Yeah, yeah, yeah, look  ( OG Parker )  Me verse you and you know who they pickin' Cheap and expensive, you knowin' the difference You know that it's hittin', you know what it's givin' Hair, nails, polar bear I can survive in the coldest conditions Hoes better lower they tone when they spittin' Bitches is washed, soap on the dishes I apply pressure like boa constrictors One bitch, two bitch, old bitch, new bitch None of y'all bitches not gon' do shit I'm in Miami, I pull up on cruise ship You in Miami, four hoеs to a room shit (Ah)  When I step, it's stampedе Foot on neck, can't breathe Lucky Charm, Van Cleef Diamonds on the dance team"
Si Antes Te Hubiera Conocido,KAROL G,"Letra de ""Si Antes Te Hubiera Conocido""  ¿Q ué lo  que? Estamo' a rulay Empezó el verano Fuego Coro ¿Qué hubiera sido? Si antes te hubiera conocido Seguramente, estarías bailando esta conmigo No como amigos Post-Coro Sino como otra cosa Usted cerca me pone peligrosa Por un besito hago cualquier cosa La novia suya me pone celosa y aunque es hermosa ¡Ey! Pre-Coro No te va a tratar como yo No te va a besar como yo No está tan rica así como yo Ella es tímida y yo no Con esta' ganas que tengo yo Me atrevo a comerme los do' Hoy estás jangueando con ella Pero, mmm, después tal vez no"
Bon Bon,Fcukers,"I told 'em Yo, I don't know what's going on, but it's a lot I'll give y'all five seconds to catch your breath One, two (Just make sure I get home before nine) Three, four, five (Right here, motherfucker) (Yeah) Go to the beach and I getcha bon bon Go to the beach, yeah I getcha bon bon Go to the streets and I getcha bon bon Go to the streets, yeah I getcha bon bon Ya, I getcha bon bon Ya, I getcha bon bon I getcha run and I getcha run run I getcha run, get your kit on Go to the streets and I getcha run run Go to the streets and I getcha bon bon I'll give y'all five seconds to catch your breath I wish ya gone, getcha getcha bon bon I wish ya gone, getcha getcha bon bon I wish ya gone, getcha getcha bon bon Ya, I getcha bon bon Ya, I getcha bon bon Ya, I getcha bon bon Ya, I getcha bon bon Go to the crib, yeah I getcha fit on Go to the crib, yeah you getcha fit on Go in the streets, yeah you getcha fit on Go in the streets and I getcha bon bon I wish ya gone I wish ya gone I wish ya gone I wish ya gone I wish ya gone I wish ya gone Getcha getcha bon bon I wish ya gone Getcha getcha bon bon, I wish ya gone Getcha getcha bon bon, I wish ya gone Getcha getcha bon bon (Yeah) Instrumental Break I getcha bon bon I getcha bon bon I getcha bon bon I getcha bon bon I getcha bon bon"
Driver,Soccer Mommy," I'm a five-foot-four engine waiting to move I'm a test of his patience with all that I do 'Cause I'm hot and he stays cool, I don't know why But he puts up with my moods And it makes me smile when he says  'Where are we going now?' My head is always in the clouds I'll be the driver if you choose No promises to stay on route He'd never leave me now Even if he could, there's no way out 'Cause I'll be the driver through and through I would go anywherе with you I would go anywhere, yeah  Losing my concеntration on every whim He reminds me, he leads me back like it's nothing to him 'Cause my head is a highway all of the time And the thoughts race through my brain But it all goes quiet when he says  'Where are we going now?' My head is always in the clouds I'll be the driver if you choose No promises to stay on route He'd never leave me now Even if he could, there's no way out 'Cause I'll be the driver, I'll be the driver I'll be the driver, yeah So where are we going now? My head is always in the clouds I'll be the driver if you choose No promises to stay on route He'd never leave me now Even if he could, there's no way out 'Cause I'll be the driver, I'll be the driver I'll be the driver, yeah"
Anything,Griff," TV on in the background, I didn't care about that Body bare on your chest and my heart in the palm of your hands Did you realise the power you had over me when you love like that? Did you love knowing you'd take it back?  You know if you told me to run, jump Throw my body right off of a highwire bridge 'Cause you'd meet me at the bottom I woulda done anything you wanted I woulda done anything you wanted Oh, you could've told me to Crawl down till my head's underground Dig my elbows in with no way to get out I woulda done anything you wanted I woulda done anything you wanted  Just to know I was yours at least for another night Maybe I craved you so much 'cause I knеw you were nevеr mine (La-la-la-la-la, la-la-la-la-la) Oh, maybe it's 'cause I was young and you were the first to find You built me up (La-la-la-la-la) just to set me alight  You know if you told me to run, jump Throw my body right off of a highwire bridge 'Cause you'd meet me at the bottom I woulda done anything you wanted (Anything) I woulda done anything you wanted Oh, you could've told me to Crawl down till my head's underground Dig my elbows in with no way to get out I woulda done anything you wanted (Anything) I woulda done anything you wanted Bridge And I hate how much that you took away Like my confidence was yours to take Did you love how much you could make me stay? 'Cause you knew, yeah  You knew if you told me to run, jump Throw my body right off of a highwire bridge 'Cause you'd meet me at the bottom I would've done anything you wanted (Oh yeah) I would've done anything you wanted Oh, you could've told me to Crawl down till my head's underground Dig my elbows in with no way to get out I woulda done anything you wanted (Anything) I woulda done anything you wanted  (La-la-la-la-la, la-la-la-la-la) (Anything) (La-la-la-la-la, la-la-la-la-la) (Anything)"
Saturn,SZA," If there's another universe Please make some noise (Noise) Give me a sign (Sign) This can't be life If there's a point to losing love Repeating pain (Why?) It's all the same (Same) I hate this place  Stuck in this paradigm Don't believe in paradise This must be what Hell is like There's got to be more, got to be more Sick of this head of mine Intrusive thoughts, they paralyzе Nirvana's not as advertised Therе's got to be more, been here before  Ooh (Ooh, ooh) Life's better on Saturn Got to break this pattern Of floating away Ooh (Ooh, ooh) Find something worth saving It's all for the taking I always say"
Austin,Dasha," We had a plan, move out of this town, baby West to the sand, it's all we talked about lately I'd pack the car, bring your guitar and Jane for smokin' First thing at dawn, you'd queue the songs and we'd get goin' But you weren't home, waited on the porch for ya Sat there alone, all throughout the morn' 'til I Got a hunch down in my gut and snuck around the back Empty cans and I'll be damned, your shit was never packed  Did your boots stop workin'? Did your truck break down? (Truck break down) Did you burn through money? Did your ex find out? (Ex find out) Where there's a will, then there's a way, and I'm damn sure you lost it Didn't even say goodbye, just wish I knew what caused it Was the whiskey flowin'? Were you in a fight? (In a fight) Did the nerves come get you? What's your alibi? (Alibi) I made my way back to LA, and that's where you'll be forgotten In forty years, you'll still be here, drunk washed up in Austin  Hell of a bluff, you had me believin' How many months did you plan on leavin'? What happened? Bad habits? Did you go back? Go batshit? I loved you, how tragic, oh-oh  Did your boots stop workin'? Did your truck break down? (Truck break down) Did you burn through money? Did your ex find out? (Ex find out) Where there's a will, then there's a way, and I'm damn sure you lost it Didn't even say goodbye, just wish I knew what caused it Was the whiskey flowin'? Were you in a fight? (In a fight) Did the nerves come get you? What's your alibi? (Alibi) I made my way back to LA, and that's where you'll be forgotten In forty years, you'll still be here, drunk washed up in Austin  (Did your truck break down? Did your ex find out?)"
TRYIN' MY HARDEST,SiR," Well, if this ain't love, I don't know I don't know, I don't know  I'm tryin' my hardest I'm tryin' my hardest Well, if this ain't love, I don't know what the fuck it is, ooh I'm tryin' my hardest  Plant a seed, give it time, hope that it grow Energy is hard to find, I know that you know Promises, I wanna keep, been keepin' me down But I know how I would feel if I can't keep you around So I meditate, got my mind focused on you Change of pace, it ain't a race, I'm chasin' the truth Sick of all the pain that I've been puttin' you through I keep gettin' it wrong but I know that  I'm tryin' my hardest (Ooh-ooh, ooh-ooh, ooh-ooh) I'm tryin' my hardest (Ooh-ooh, ooh-ooh, ooh-ooh) Well, if this ain't love, I don't know what the fuck it is, ooh I'm tryin' my hardest (Ooh-ooh, ooh-ooh, ooh-ooh)"
BYE BYE,Kim Gordon," Buy a suitcase, pants to the cleaner Cigarettes for Keller Call the vet, call the groomer Call the dog sitter Milk thistle, calcium, high-rise, boot cut Advil, black jeans, blue jeans Cardigan, purse, passport Pajamas, silk  Hoodie, toothpaste Brush, foundation Contact solution Mascara Lip mask, eye mask, ear plugs Travel shampoo, conditioner Eyeliner, dental floss Money for the cleaners  3 Sleeping pills, sneakers, boots Black dress, white tee, turtleneck IBook, power cord, medications Button down, laptop Hand cream, body lotion Bella Freud YSL, Eckhaus Latta Eyelash curler, vibrator, teaser Bye-bye Bye-bye"
In The Wawa (Convinced I Am God),Lip Critic," One for the pain One on a whim Hard to see the point of what lies beneath my skin They wouldn't give it to me A vision of the self So I drink the image that they sell of the shelf  What was the summation of atoms in my blood? I'm a gusher for the devil, there's no boat in the flood Now my son's the fire breather I can't look in his eyes He's the only one who sees the truth behind my lies  Standing in the Wawa, convinced I'm a god So I'm gonna get any sandwich I want Why would I stop? My decision is law Earth is a skeleton and I am it's jaw Post- If you are the critic and I am the believer I would live with no doubt, no fear in my features Verse 3 Oh, believe my speech, stutter though I may I know my time is coming but it will not be today I live for the heart The energy of life Put my blood in the printer just so I could live it twice"
Perfume,The Dare," I've got a new obsession of mine It's something that I found while shopping online (Woo) It's something unassuming sitting in my sock drawer (Drawer) It's something that can make a bride out of a whore (What?)  When I walk in a room, everybody agrees Something's added to the air, but you can't really see Something so, so sexy, but you can't really tell All the boys and the girls ask me, 'What is that smell?' That's my perfume  It's $5.99 (Woo) I spray it in my mouth and it tastes just divine It's erotic, it's from Paris too White font on the front 'C'est comme tomber amoureux'  When I go for a kiss, everybody agrees Something's added to the mood, but you can't really see Something so seductive, but you can't really tell All the boys and the girls ask me, 'What is that smell?' That's my perfume Post- Yeah (Woo) That's my perfume Yeah (Woo) That's my Verse 3 You'll have to pry it from my cold dead grip In fact, spray it in my grave so the worms can get a whiff I wanna smell real good while I'm burning in hell 'Cause the fire makes you sweat, other people can tell  When I put it on myself, everybody agrees A certain je ne sais quoi starts coming for me It's a little bit different, but I don't know why They say it's only for girls, but they're too scared to try That's my Post- (Yeah) That's my perfume (Yeah, woo) That's my, yeah That's my perfume, yeah Ow"
Get It Sexyy,Sexyy Red," ( Tay  Keith, fuck these niggas up ) Baow, baow, baow, baow Grraow, baow, baow, baow Yeah, yeah, yeah, yeah, yeah, yeah It's Sexyy  Slim thick, caramel skin 5'5"", this bitch a ten (Yeah) Hair done, bills paid Catch me slidin' in a Benz (Vyoom) I ain't lookin' for no man Ain't recruitin' no new friends Louis bag filled with bands Go on, Sexyy, do your dance Get it, Sexyy (Uh, uh), get it, Sexyy (Uh, uh) Get it, Sexyy (Uh, uh), get it, Sexyy (Uh, uh)  Boy, you know this ass super fat (I ain't lyin', though) Fuck me good, I'm throwin' that shit back (I'm his favorite ho) He wanna kiss me all over my tats (Uh, uh, uh, uh, I might let him, though) I'm so fuckin' sexy, they attack (All these niggas on go) Feeling myself 'cause I know that I'm that (Yeah, bitch, I’m cold) Ridin' through St. Louis in a Scat (And I can't go slow) Bust down middle part, and I got it black (I'm a big fine ho) Walkin' through the club lookin' like a snack (But you knew that though)"
Active,Asake & Travis Scott," Oh man, I'm active Oh man, I'm active Oh man, I'm active Oh man, I'm active Refrain Adewale Ayuba Maajo, fine girl Maajo, fine girl Maajo, fine girl Maajo, fine girl Maajo, maajo Maajo, fine girl Maajo, fine girl  Gbemi dele oh, gbemi debẹ oh (Debẹ oh) Two shot, to ma gbemi debẹ oh (Debẹ oh) Too sure, iwọ gan ma debẹ oh (Debẹ oh) Straight forward, I no get K-leg Oh, yeah, yeah, kosepe oh 24/7, me dey I here oh You no strong, make you dey for daycare oh Mo n gbona, orimi dey there oh Kampe oh, kampe oh (Active) Moduro, moduro, kampe oh Otipẹ ti moti sanle oh I've been active, aja mi sare oh Sare oh, sare oh (Active) Mogbe wọn, mogbe wọn, sare oh Ẹyin t'emi ẹjẹ ka jaiye oh Aye kan lowa, ko sa ye oh"
Cardinal,Kacey Musgraves," I saw a sign or an omen On the branches in the morning It was right after I Lost a friend without warning  Words unsaid Scarlet red  Cardinal Are you bringing me a message from the other side? Cardinal Are you telling me I'm on somebody's mind? Don't leave me behind  I took a walk in the city To clear my head for a moment Turned my collar to the wind On the street, it was blowing  And there he was Above my head"
